epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,89.4669,0.39336,0.72092,0.91708,0.00667,1,0.66333,0.39775,0.8356,2.71343,1.29933,0.000493898,0.000493898,0.000493898
45,91.121,0.38314,0.67443,0.96631,0.00667,1,0.66333,0.3944,0.84877,2.7991,1.30465,0.000496672,0.000496672,0.000496672
46,92.7532,0.39813,0.70402,0.94575,0.00667,1,0.66333,0.26373,1.02461,2.78827,1.46555,0.00049905,0.00049905,0.00049905
47,94.3656,0.33998,0.64398,0.96166,0.00667,1,0.13355,0.05,1.02738,2.87553,1.7214,0.000501032,0.000501032,0.000501032
48,96.0124,0.37498,0.70405,0.99929,0.00667,1,0.4975,0.10837,1.4703,2.90518,1.95987,0.000502618,0.000502618,0.000502618
49,97.6078,0.58328,0.72942,0.99808,0.00667,1,0.66333,0.10502,1.31787,2.91385,1.62507,0.000503808,0.000503808,0.000503808
50,99.4107,0.42223,0.70734,0.98878,0.00667,1,0.4975,0.27767,0.91964,2.8119,1.40577,0.000504602,0.000504602,0.000504602
51,101.629,0.36528,0.71321,0.93293,0.00667,1,0.4975,0.2945,0.88025,2.70825,1.32624,0.000505,0.000505,0.000505
52,104.116,0.45489,0.65151,0.95301,0.00667,1,0.52726,0.46197,0.86689,2.5962,1.442,0.000505002,0.000505002,0.000505002
53,106.152,0.5424,0.76224,1.02014,0.00667,1,0.5253,0.40738,1.08988,2.56839,1.62116,0.000504608,0.000504608,0.000504608
54,107.788,0.40697,0.65019,0.92365,0.00667,1,0.5575,0.418,1.02144,2.48675,1.62909,0.000503818,0.000503818,0.000503818
55,109.365,0.35182,0.62856,0.92955,0.00667,1,0.745,0.51267,0.9762,2.54121,1.588,0.000502632,0.000502632,0.000502632
56,110.931,0.39761,0.6367,0.93806,0.00667,1,0.745,0.5335,0.86536,2.54575,1.40237,0.00050105,0.00050105,0.00050105
57,112.505,0.386,0.61045,0.95513,0.00667,1,0.66167,0.50225,0.87586,2.56979,1.3145,0.000499072,0.000499072,0.000499072
58,114.082,0.34032,0.57581,0.918,0.00667,1,0.62,0.50887,0.81779,2.65058,1.34867,0.000496698,0.000496698,0.000496698
59,115.767,0.41441,0.58304,0.92664,0.00667,1,0.66167,0.50406,0.89726,2.66861,1.32222,0.000493928,0.000493928,0.000493928
60,117.977,0.34922,0.55881,0.94069,0.00667,1,0.60611,0.46284,1.17779,2.78306,1.46356,0.000490762,0.000490762,0.000490762
61,120.083,0.36164,0.56211,0.95728,0.00667,1,0.66167,0.57892,0.82846,2.69253,1.35172,0.0004872,0.0004872,0.0004872
62,122.436,0.34941,0.5363,0.91926,0.00667,1,0.995,0.8955,0.57315,2.44199,1.1149,0.000483242,0.000483242,0.000483242
